lat,lng
51.19758,4.58606
51.19759,4.5856
51.19759,4.5858
51.19759,4.58634
51.19759,4.58659
51.1976,4.58543
51.19761,4.58524
51.19761,4.58686
51.19762,4.58706
51.19763,4.58494
51.19763,4.58496
51.19764,4.58729
51.19765,4.58473
51.19765,4.58737
51.19767,4.58456
51.19767,4.5876
51.19769,4.58436
51.1977,4.5878
51.19772,4.58419
51.19773,4.58806
51.19775,4.58398
51.19776,4.58823
51.19777,4.58383
51.19779,4.58839
51.19781,4.58363
51.19782,4.58856
51.19784,4.58349
51.19785,4.58873
51.19787,4.5833
51.19789,4.58891
51.19791,4.58313
51.19796,4.58922
51.19797,4.58289
51.19801,4.58941
51.19803,4.58267
51.19806,4.58958
51.19808,4.58248
51.1981,4.58974
51.19814,4.58229
51.19815,4.58991
51.19821,4.58207
51.19823,4.59013
51.19825,4.58196
51.19829,4.5903
51.19832,4.58174
51.19834,4.59045
51.19841,4.59062
51.19843,4.58148
51.19847,4.59078
51.19853,4.59091
51.19855,4.58117
51.19863,4.581
51.19863,4.59114
51.1987,4.59129
51.19872,4.58082
51.1988,4.58065
51.19883,4.59154
51.19886,4.5916
51.19889,4.58048
51.19898,4.59181
51.199,4.58028
51.199,4.59185
51.19908,4.59199
51.19913,4.59207
51.19922,4.59221
51.19923,4.57989
51.19929,4.59232
51.19935,4.5797
51.19936,4.59242
51.19945,4.59255
51.19951,4.57943
51.1996,4.59274
51.19973,4.57909
51.19973,4.5929
51.19988,4.5931
51.19989,4.57883
51.19997,4.59321
51.20001,4.59327
51.20006,4.57855
51.20008,4.59336
51.20016,4.59345
51.20025,4.57823
51.20025,4.59357
51.20034,4.59368
51.20037,4.57801
51.20043,4.5938
51.20049,4.57778
51.20053,4.59392
51.20059,4.57759
51.2006,4.59403
51.20069,4.59414
51.20071,4.57733
51.20077,4.59425
51.20082,4.59433
51.20086,4.59438
51.2009,4.57691
51.20094,4.5945
51.20098,4.59457
51.20101,4.57666
51.20102,4.59462
51.2011,4.57645
51.2011,4.59475
51.20118,4.59488
51.20119,4.57623
51.20125,4.595
51.20129,4.57595
51.20133,4.59514
51.20138,4.57571
51.20147,4.57546
51.20147,4.5954
51.20154,4.57524
51.20155,4.59554
51.20162,4.575
51.20162,4.59568
51.20168,4.59581
51.2017,4.57474
51.2017,4.59583
51.20176,4.59596
51.20178,4.57448
51.20182,4.5961
51.20188,4.57418
51.20189,4.59624
51.20194,4.57399
51.20195,4.59639
51.202,4.59649
51.20201,4.59653
51.20203,4.57367
51.20208,4.59668
51.20212,4.57337
51.20216,4.57322
51.2022,4.5731
51.20221,4.59698
51.20226,4.57301
51.2022644,4.573009
51.20227,4.59714
51.20231,4.57286
51.20236,4.57264
51.20239,4.59744
51.20248,4.5722
51.20251,4.59775
51.20254,4.57198
51.20257,4.59791
51.20262,4.57169
51.20263,4.59805
51.2027,4.57137
51.20274,4.59835
51.2028,4.57101
51.20292,4.57055
51.20293,4.59888
51.20299,4.57029
51.20311,4.56984
51.20318,4.56956
51.20329,4.59984
51.20329,4.59985
51.20337,4.56885
51.20338,4.60009
51.20344,4.56861
51.20356,4.56815
51.20356,4.60056
51.20363,4.56788
51.20371,4.56758
51.20373,4.60102
51.20382,4.56715
51.20384,4.60133
51.2039,4.56686
51.20398,4.56661
51.20402,4.56647
51.20406,4.60197
51.20409,4.56617
51.20423,4.60247
51.20429,4.5655
51.20434,4.56531
51.20435,4.60279
51.20441,4.56502
51.20441,4.60297
51.2045,4.56469
51.20452,4.60331
51.20454,4.56453
51.20455,4.56451
51.20459,4.56437
51.2046,4.60353
51.20463,4.5642
51.20471,4.60385
51.20472,4.56387
51.20476,4.56372
51.20483,4.60421
51.20483,4.60422
51.2049,4.60442
51.20498,4.5629
51.20544,4.60598
51.20551,4.60618
51.20557,4.56067
51.20561,4.60647
51.20571,4.60676
51.20591,4.55937
51.206,4.55904
51.20604,4.55888
51.20605,4.60774
51.20612,4.55858
51.20617,4.55841
51.20621,4.55824
51.20624,4.60827
51.20634,4.55776
51.20639,4.55758
51.20643,4.55744
51.20646,4.55731
51.20647,4.55729
51.20651,4.55712
51.20656,4.55695
51.2066,4.55679
51.20672,4.55632
51.20676,4.55617
51.2068,4.55601
51.20685,4.55584
51.2069,4.61022
51.20694,4.55551
51.20698,4.55536
51.20702,4.5552
51.20705,4.55506
51.2071,4.55488
51.20724,4.55437
51.20726,4.61125
51.2073,4.55416
51.2073,4.61137
51.20732,4.61141
51.20737,4.61156
51.20742,4.61171
51.20746,4.5536
51.20747,4.55358
51.20748,4.61188
51.20753,4.61204
51.20755,4.55326
51.20755,4.61209
51.20759,4.61219
51.20763,4.61233
51.20763,4.61234
51.20765,4.55289
51.20767,4.61244
51.20769,4.6125
51.20772,4.55261
51.20772,4.61259
51.20775,4.61266
51.20785,4.61297
51.20794,4.61324
51.20798,4.61334
51.20802,4.61345
51.20818,4.61391
51.20828,4.61422
51.20829,4.55046
51.20831,4.6143
51.20834,4.61438
51.20843,4.61465
51.2085,4.54965
51.20865,4.61529
51.20865,4.6153
51.20888,4.61595
51.20893,4.61611
51.20899,4.61627
51.20905,4.61644
51.20914,4.54722
51.20917,4.61678
51.20923,4.5469
51.20941,4.61748
51.20942,4.5462
51.20961,4.61807
51.20962,4.54548
51.20967,4.61824
51.2097,4.5452
51.2097,4.61833
51.20973,4.61842
51.20983,4.54472
51.20983,4.61869
51.20989,4.54449
51.21,4.54405
51.21011,4.61953
51.21012,4.54359
51.2102,4.61977
51.21021,4.54318
51.21021,4.6198
51.21022,4.54314
51.21024,4.54305
