X,Y
13.4049545,52.5200154
13.40486,52.52012
13.40482,52.52017
13.40476,52.52014
13.40471,52.52011
13.40461,52.52005
13.40455,52.52001
13.4045,52.51999
13.40443,52.51995
13.40436,52.51991
13.40422,52.51984
13.40421,52.51983
13.40402,52.51972
13.40394,52.51968
13.40358,52.51948
13.40352,52.51943
13.40337,52.51933
13.40332,52.5193
13.40325,52.51923
13.40317,52.51919
13.4031,52.51915
13.40303,52.51911
13.40292,52.51905
13.40285,52.51902
13.40281,52.519
13.40276,52.51898
13.4027,52.51896
13.40233,52.51881
13.40204,52.5187
13.40177,52.5186
13.40162,52.51854
13.40132,52.51844
13.40112,52.51837
13.401,52.51833
13.40055,52.51817
13.40008,52.518
13.39961,52.51783
13.39951,52.5178
13.39937,52.51777
13.39928,52.51775
13.39916,52.51774
13.399,52.51773
13.39888,52.51772
13.39859,52.5177
13.3985946,52.5176984
13.39832,52.51768
13.39791,52.51765
13.39733,52.51761
13.39645,52.51756
13.39627,52.51754
13.39565,52.5175
13.39513,52.51746
13.39498,52.51745
13.39439,52.51741
13.39398,52.51739
13.39369,52.51736
13.39359,52.51736
13.39352,52.51735
13.39346,52.51735
13.39341,52.51735
13.39337,52.51735
13.39333,52.51735
13.39329,52.51735
13.39313,52.51736
13.39306,52.51738
13.39301,52.51738
13.39298,52.51738
13.39295,52.51738
13.39294,52.51738
13.39289,52.51739
13.39283,52.51739
13.39276,52.51739
13.39264,52.51739
13.39241,52.51737
13.39225,52.51736
13.3921,52.51736
13.39176,52.51734
13.39068,52.51727
13.38961,52.51721
13.38911,52.51717
13.38881,52.51716
13.38848,52.51714
13.38829,52.51713
13.38717,52.51705
13.38714,52.51705
13.38708,52.51704
13.38702,52.51704
13.38697,52.51703
13.38635,52.51699
13.38597,52.51697
13.38586,52.51696
13.38576,52.51694
13.3857585,52.516936
13.38584,52.51667
13.38589,52.51636
13.3859,52.51628
13.38594,52.51605
13.38595,52.51596
13.38596,52.51593
13.38597,52.51586
13.386,52.51565
13.38603,52.51546
13.3860286,52.515464
13.38558,52.51543
13.38531,52.51541
13.38445,52.51535
13.38341,52.51528
13.38333,52.51528
13.38314,52.51526
13.383,52.51525
13.38271,52.51523
13.3823,52.51521
13.38195,52.51519
13.38183,52.51518
13.38172,52.51517
13.38161,52.51516
13.38149,52.51515
13.38123,52.5151
13.38077,52.51501
13.38034,52.51492
13.38027,52.51491
13.38004,52.51486
13.37999,52.51485
13.37988,52.51483
13.37958,52.51477
13.37945,52.51475
13.37937,52.51473
13.37929,52.51472
13.37921,52.5147
13.37911,52.51469
13.37904,52.51468
13.37889,52.51467
13.37871,52.51466
13.37852,52.51464
13.37825,52.51463
13.37765,52.51459
13.37749,52.51458
13.3774908,52.5145755
13.37747,52.51467
13.37747,52.5147
13.37748,52.51475
13.37749,52.51488
13.37756,52.51542
13.37758,52.51552
13.37758,52.51554
13.37758,52.51558
13.37757,52.51563
13.37756,52.51568
13.37755,52.51573
13.37754,52.51575
13.37752,52.51578
13.37748,52.51583
13.37745,52.51585
13.37742,52.51588
13.3774,52.51589
13.37735,52.51591
13.3773,52.51593
13.37727,52.51595
13.37721,52.51597
13.37719,52.51597
13.37716,52.51598
13.37712,52.516
13.37708,52.51602
13.37703,52.51605
13.37697,52.5161
13.37691,52.51616
13.3769081,52.5161642
13.37688,52.51628
13.37671,52.51627
13.37654,52.51626
13.37625,52.51624
13.37608,52.51623
13.37508,52.51616
13.3741,52.5161
13.37389,52.51608
13.3734,52.51605
13.3733,52.51605
13.37206,52.51597
13.3708,52.51589
13.37037,52.51586
13.37024,52.51586
13.37004,52.51584
13.36984,52.51583
13.36962,52.51582
13.3696,52.51582
13.3693,52.5158
